Column name,Corresponding survey question,Codes
Q1,Please select the option that best describes your status.,"1=""I am a US citizen or permanent resident""; 2= ""I am an international student"""
Q2,Please select your age,"1=""<18""; 2=""18-25""; 3=""26-30""; 4=""31-35""; 5=""36-40""; 6=""41-45""; 7=""45+"""
Q3,What is your gender?,"1=""Male""; 2=""Female"", 3=""Other"", 4=""I do not wish to respond"""
Q4,What degree are you currently pursuing?,"1=""Master's level""; 2=""PhD level"""
Q5,Please select the discipline in which you are currently pursuing your graduate degree.,"1=""Life sciences""; 2=""Physical sciences""; 3=""Engineering""; 4=""Mathematics""; 5=""Computer science""; 6=""Other (please specify):"""
Q5_TEXT,Please select the discipline in which you are currently pursuing your graduate degree: Other (please specify):,"Free response text corresponding to Q5 ""Other (please specify):"""
Discipline,"Discipline in which the respondent is currently ursuing a graduate degree in, cleaned by categorizing the free response text in ""Other (please specify)"" to one of the five categories provided","Life sciences=""Life sciences""; Physical sciences=""Physical sciences""; Engineering=""Engineering""; Mathematics=""Mathematics""; Computer science=""Computer science"""
Q6,Have you advanced to candidacy?,"1=""Yes""; 2=""No"""
Q7,What year are you in your graduate studies?,"1=""1st year""; 2=""2nd year""; 3=""3rd year""; 4=""4th year""; 5=""5th year""; 6=""6th year""; 7="">6 years"""
Q8,What field is your father employed in?,"1=""Government party officials (e.g., state-owned enterprise heads, agency heads, high-ranking party officials)""; 2=""Professionals (e.g., engineers, lawyers, accountants)""; 3=""Educators and Researchers (e.g., teachers, university professors, scientific researchers)""; 4=""Service workers (e.g., administrative office staff, firefighters, policemen, post office workers)""; 5=""Commercial and retail workers (e.g., sales, restaurant servers, nurses, caretakers, social workers)""; 6=""Agriculture (e.g., farmers, fishermen, foresters)""; 7=""Technical workers (e.g., miners, production line workers, mechanics, electricians, construction workers)""; 8=""Retired/currently not working""; 9=""NA""; 10=""Other (please specify):"""
Q8_TEXT,What field is your father employed in: Other (please specify):,Free response text
Q9,What is the highest level of education that your father received?,"1=""Up through high school""; 2=""High school graduate""; 3=""Some college""; 4=""Bachelor's degree""; 5=""Professional degree (e.g., MA, JD)""; 6=""PhD""; 7=""NA"""
Q10,What field is your mother employed in?,"1=""Government party officials (e.g., state-owned enterprise heads, agency heads, high-ranking party officials)""; 2=""Professionals (e.g., engineers, lawyers, accountants)""; 3=""Educators and Researchers (e.g., teachers, university professors, scientific researchers)""; 4=""Service workers (e.g., administrative office staff, firefighters, policemen, post office workers)""; 5=""Commercial and retail workers (e.g., sales, restaurant servers, nurses, caretakers, social workers)""; 6=""Agriculture (e.g., farmers, fishermen, foresters)""; 7=""Technical workers (e.g., miners, production line workers, mechanics, electricians, construction workers)""; 8=""Retired/currently not working""; 9=""NA""; 10=""Other (please specify):"""
Q10_TEXT,What field is your mother employed in: Other (please specify):,"Free response text for those who selected ""Other (please specify):"" in Q10"
Q11,What is the highest level of education that your mother received?,"1=""Up through high school""; 2=""High school graduate""; 3=""Some college""; 4=""Bachelor's degree""; 5=""Professional degree (e.g., MA, JD)""; 6=""PhD""; 7=""NA"""
Q16,Did you study in the US for any part of your undergraduate degree?,"1=""Yes""; 2=""No"""
Q17,How long did you study at an American university during your undergraduate career?,"1=""Less than 1 year""; 2=""1 year""; 3=""1-2 years""; 4=""3+ years"""
Q18,Did you receive your undergraduate degree in the US?,"1=""Yes""; 2=""No"""
Q19,What university did you complete your undergraduate degree at?,Free response text; NA=if they did not receive an undergraduate degree in the US
Q20,"If you completed any other degrees, what degrees did you complete and at which universities did you do so?",Free response text; NA=if they did not receive an undergraduate degree in the US
Q21,When did you first enter the United States for your studies?,"1=""Before elementary school""; 2=""To attend elementary school (grades 1-5)""; 3=""To attend middle school (grades 6-8)""; 4=""To attend high school (grades 9-12)""; 5=""To attend college""; 6=""To attend graduate school""; 7=""Other (please specify):"""
Q21_TEXT,When did you first enter the United States for your studies: Other (please specify):,"Free response text for those who selected ""Other (please specify):"" in Q21"
Q22,What is your home country?,"See ""Country List Metadata"""
Q23,What visa are you currently on?,"1=""F1""; 2=""J1""; 3=""Other (please specify):"""
Q23_TEXT,What visa are you currently on: Other (please specify):,"Free response text for those who selected ""Other (please specify):"" in Q21"
Q24,How did you apply to the graduate program at your current university? ,"1=""Applied through an agency""; 2=""Applied through a governmental program in your home country""; 3=""Self-application""; 4=""Transferred from another graduate program in the US""; 5=""Other (please specify):"""
Q24_TEXT,How did you apply to the graduate program at your current university: Other (please specify):,"Free response text for those who selected ""Other (please specify):"" in Q24"
Q25_1,"What factors influenced your decision to do your graduate studies in the US: ""Higher quality of education""","1=Factor was selected, 0=Factor was not selected"
Q25_2,"What factors influenced your decision to do your graduate studies in the US: ""Lower cost""","1=Factor was selected, 0=Factor was not selected"
Q25_3,"What factors influenced your decision to do your graduate studies in the US: ""Opportunity to work with specific faculty""","1=Factor was selected, 0=Factor was not selected"
Q25_4,"What factors influenced your decision to do your graduate studies in the US: ""Future career opportunities""","1=Factor was selected, 0=Factor was not selected"
Q25_5,"What factors influenced your decision to do your graduate studies in the US: ""Wanted to live in the United States""","1=Factor was selected, 0=Factor was not selected"
Q25_6,"What factors influenced your decision to do your graduate studies in the US: ""Proximity to friends/family""","1=Factor was selected, 0=Factor was not selected"
Q25_7,"What factors influenced your decision to do your graduate studies in the US: ""Wanted to experience living abroad""","1=Factor was selected, 0=Factor was not selected"
Q25_8,"What factors influenced your decision to do your graduate studies in the US: ""Other (please specify): ""","1=Factor was selected, 0=Factor was not selected"
Q25_8_TEXT,"What factors influenced your decision to do your graduate studies in the US: ""Other (please specify): """,Free response text corresponding to Q25_8
Q26,What are your plans after graduation? ,"1=""Work for a government""; 2=""Work for a non-governmental organization""; 3=""Seek employment with a company""; 4=""Start a company""; 5=""Do not know/not sure""; 6=""Other (please specify):"""
Q26_TEXT,What are your plans after graduation? ,Free response text corresponding to Q26
Q27,You told us in the previous question that you plan to conduct research after graduation. In which country do you plan to do so?,
Q28,Do you hope to remain in the US after graduation?,
Q29_1,"Why do you want to stay in the US: ""Job opportunities for myself""","1=Factor was selected, 0=Factor was not selected"
Q29_2,"Why do you want to stay in the US: ""Opportunities for family members""","1=Factor was selected, 0=Factor was not selected"
Q29_3,"Why do you want to stay in the US: ""Salary""","1=Factor was selected, 0=Factor was not selected"
Q29_4,"Why do you want to stay in the US: ""Overall quality of life""","1=Factor was selected, 0=Factor was not selected"
Q29_5,"Why do you want to stay in the US: ""Geographic location""","1=Factor was selected, 0=Factor was not selected"
Q29_6,"Why do you want to stay in the US: ""Family""","1=Factor was selected, 0=Factor was not selected"
Q29_7,"Why do you want to stay in the US: ""Friends""","1=Factor was selected, 0=Factor was not selected"
Q29_8,"Why do you want to stay in the US: ""Professional network""","1=Factor was selected, 0=Factor was not selected"
Q29_9,"Why do you want to stay in the US: ""Cultural reasons""","1=Factor was selected, 0=Factor was not selected"
Q29_10,"Why do you want to stay in the US: ""Social reasons""","1=Factor was selected, 0=Factor was not selected"
Q29_11,"Why do you want to stay in the US: ""Other (please specify):f""","1=Factor was selected, 0=Factor was not selected"
Q29_11_TEXT,"Why do you want to stay in the US: ""Other (please specify):f""",Free response text corresponding to Q29_11
Q30,How long do you plan on staying in the US?,"1=""0-2 years""; 2=""3-4 years""; 3=""4-6 years""; 4=""6-8 years""; 5=""8-10 years""; 6=""> 10 years""; 6=""Don't know/not sure"""
Q31_1,"Why do you wish to leave the US: ""Job opportunities for myself""","1=Factor was selected, 0=Factor was not selected"
Q31_2,"Why do you wish to leave the US: ""Opportunities for family members""","1=Factor was selected, 0=Factor was not selected"
Q31_3,"Why do you wish to leave the US: ""Salary""","1=Factor was selected, 0=Factor was not selected"
Q31_4,"Why do you wish to leave the US: ""Overall quality of life""","1=Factor was selected, 0=Factor was not selected"
Q31_5,"Why do you wish to leave the US: ""Geographic location""","1=Factor was selected, 0=Factor was not selected"
Q31_6,"Why do you wish to leave the US: ""Family""","1=Factor was selected, 0=Factor was not selected"
Q31_7,"Why do you wish to leave the US: ""Friends""","1=Factor was selected, 0=Factor was not selected"
Q31_8,"Why do you wish to leave the US: ""Professional network""","1=Factor was selected, 0=Factor was not selected"
Q31_9,"Why do you wish to leave the US: ""Cultural reasons""","1=Factor was selected, 0=Factor was not selected"
Q31_10,"Why do you wish to leave the US: ""Social reasons""","1=Factor was selected, 0=Factor was not selected"
Q31_11,"Why do you wish to leave the US: ""Other (please specify):f""","1=Factor was selected, 0=Factor was not selected"
Q31_11_TEXT,"Why do you wish to leave the US: ""Other (please specify):f""",Free response text corresponding to Q31_11
Q32,Do you know which country you plan to go after graduation?,"1=""Yes""; 2=""No/not sure"""
Q33,Which country do you plan to go to after graduation?,"See ""Country List Metadata"""
Q34,Will your US education give you any advantages in your career?,"1=""Definitely yes""; 2=""Probably yes""; 3=""Maybe""; 4=""Probably not""; 5=""Definitely not"""
Q35_1,"In comparison with your home country, what advantages, if any, do you feel a US education provides: ""Better education/knowledge of your field""","1=Factor was selected, 0=Factor was not selected"
Q35_2,"In comparison with your home country, what advantages, if any, do you feel a US education provides: ""Better advisors/mentorship""","1=Factor was selected, 0=Factor was not selected"
Q35_3,"In comparison with your home country, what advantages, if any, do you feel a US education provides: ""Better professional network""","1=Factor was selected, 0=Factor was not selected"
Q35_4,"In comparison with your home country, what advantages, if any, do you feel a US education provides: ""Better job opportunity""","1=Factor was selected, 0=Factor was not selected"
Q35_5,"In comparison with your home country, what advantages, if any, do you feel a US education provides: ""None""","1=Factor was selected, 0=Factor was not selected"
Q35_6,"In comparison with your home country, what advantages, if any, do you feel a US education provides: ""Do not know/not sure""","1=Factor was selected, 0=Factor was not selected"
Q35_7,"In comparison with your home country, what advantages, if any, do you feel a US education provides: ""Other (please specify):""","1=Factor was selected, 0=Factor was not selected"
Q35_7_TEXT,"In comparison with your home country, what advantages, if any, do you feel a US education provides: ""Other (please specify):""",Free response text corresponding to Q35_7
Q36,"Are you aware of any programs, incentives, or opportunities that are provided by your home country that are intended to encourage you to return after you get your degree?","1=""Yes""; 2=""No"""
Q37,"What kinds of programs, incentives, or opportunities are you familiar with? Please briefly list:",Free response text
Q38,Please list any programs you have considered.,Free response text
Q39_1,"With regard to your academic experience, how would you rate each of the following in comparison with your home country: ""Open classroom discussions""","Scale from 1 to 5 in which 1=""Very much worse"" and 5=""Very much better"""
Q39_2,"With regard to your academic experience, how would you rate each of the following in comparison with your home country: ""Professors' teaching styles""","Scale from 1 to 5 in which 1=""Very much worse"" and 5=""Very much better"""
Q39_3,"With regard to your academic experience, how would you rate each of the following in comparison with your home country: ""Subject teaching matter""","Scale from 1 to 5 in which 1=""Very much worse"" and 5=""Very much better"""
Q39_4,"With regard to your academic experience, how would you rate each of the following in comparison with your home country: ""Access to books, magazines, journals, and databases""","Scale from 1 to 5 in which 1=""Very much worse"" and 5=""Very much better"""
Q39_5,"With regard to your academic experience, how would you rate each of the following in comparison with your home country: ""Freedom to openly debate established theories""","Scale from 1 to 5 in which 1=""Very much worse"" and 5=""Very much better"""
Q39_6,"With regard to your academic experience, how would you rate each of the following in comparison with your home country: ""Freedom to pursue new, self-proposed research directions""","Scale from 1 to 5 in which 1=""Very much worse"" and 5=""Very much better"""
Q39_7,"With regard to your academic experience, how would you rate each of the following in comparison with your home country: ""Collaboration with other grad students in your lab""","Scale from 1 to 5 in which 1=""Very much worse"" and 5=""Very much better"""
Q40,How do you feel you are treated by your colleagues and professors in the US in comparison with those in your home country?,"Scale from 1 to 5 in which 1=""Treatment much worse"" and 5=""Treatment much better"""
Q41,How do you feel you would be treated by your colleagues and professors in your home country if you returned?,"Scale from 1 to 5 in which 1=""Treatment much worse"" and 5=""Treatment much better"""
Q42,How successfully do you feel you have adjusted to American educational culture?,"Scale from 1 to 5 in which 1=""Did not adjust well"" and 5=""Adjusted well"""
Q43_1,"Please select any challenges you may have encountered while adjusting: ""Cultural challenges"" ","1=Factor was selected, 0=Factor was not selected"
Q43_2,"Please select any challenges you may have encountered while adjusting: ""Social challenges"" ","1=Factor was selected, 0=Factor was not selected"
Q43_3,"Please select any challenges you may have encountered while adjusting: ""Academic challenges"" ","1=Factor was selected, 0=Factor was not selected"
Q43_4,"Please select any challenges you may have encountered while adjusting: ""Racial challenges"" ","1=Factor was selected, 0=Factor was not selected"
Q43_5,"Please select any challenges you may have encountered while adjusting: ""Financial challenges"" ","1=Factor was selected, 0=Factor was not selected"
Q43_6,"Please select any challenges you may have encountered while adjusting: ""I did not encounter any challenges"" ","1=Factor was selected, 0=Factor was not selected"
Q43_7,"Please select any challenges you may have encountered while adjusting: ""Other (please specify):"" ","1=Factor was selected, 0=Factor was not selected"
Q43_7_TEXT,"Please select any challenges you may have encountered while adjusting: ""Other (please specify):"" ",Free response text corresponding to Q43_7
Q44,Did you take the Chinese College Entrance Exam (Gaokao)?,"1=""Yes""; 2=""No"""
Q45,What year did you take the Gaokao? Each answer must be between 1900 and 2013,"Free response text if answer is provided; otherwise, ""NA"""
Q46,"What was your TOTAL score? (If you do not remember, please enter 0)","Free response text if answer is provided; otherwise, ""NA"""
Q47_1,"What did you score in each of the following subsections? (If you do not remember, please enter 0): ""Chinese""","1=""Took the Chinese Gaokao subsection""; NA=""Did not take the Gaokao and did not receive this question"""
Q47_1_TEXT,"What did you score in each of the following subsections? (If you do not remember, please enter 0): ""Chinese""","Free response text from individuals who took the Gaokao or ""NA"" if they did not"
Q47_2,"What did you score in each of the following subsections? (If you do not remember, please enter 0): ""Mathematics""","1=""Took the Mathematics Gaokao subsection""; NA=""Did not take the Gaokao and did not receive this question"""
Q47_2_TEXT,"What did you score in each of the following subsections? (If you do not remember, please enter 0): ""Mathematics""","Free response text from individuals who took the Gaokao or ""NA"" if they did not"
Q47_3,"What did you score in each of the following subsections? (If you do not remember, please enter 0): ""English""","1=""Took the English Gaokao subsection""; NA=""Did not take the Gaokao and did not receive this question"""
Q47_3_TEXT,"What did you score in each of the following subsections? (If you do not remember, please enter 0): ""English""","Free response text from individuals who took the Gaokao or ""NA"" if they did not"
Q48,Did you take the TOEFL?,"1=""Yes""; 2=""No"""
Q49_1,"What were your scores in the following sections? (If you do not remember, please enter 0): ""Reading""","1=""Took the Reading TOEFL subsection""; NA=""Did not take the TOEFL and did not receive this question"""
Q49_1_TEXT,"What were your scores in the following sections? (If you do not remember, please enter 0): ""Reading""","Free response text from individuals who took the TOEFL or ""NA"" if they did not"
Q49_2,"What were your scores in the following sections? (If you do not remember, please enter 0): ""Listening""","1=""Took the Listening TOEFL subsection""; NA=""Did not take the TOEFL and did not receive this question"""
Q49_2_TEXT,"What were your scores in the following sections? (If you do not remember, please enter 0): ""Listening""","Free response text from individuals who took the TOEFL or ""NA"" if they did not"
Q49_3,"What were your scores in the following sections? (If you do not remember, please enter 0): ""Speaking""","1=""Took the Speaking TOEFL subsection""; NA=""Did not take the TOEFL and did not receive this question"""
Q49_3_TEXT,"What were your scores in the following sections? (If you do not remember, please enter 0): ""Speaking""","Free response text from individuals who took the TOEFL or ""NA"" if they did not"
Q49_4,"What were your scores in the following sections? (If you do not remember, please enter 0): ""Writing""","1=""Took the Writing TOEFL subsection""; NA=""Did not take the TOEFL and did not receive this question"""
Q49_4_TEXT,"What were your scores in the following sections? (If you do not remember, please enter 0): ""Writing""","Free response text from individuals who took the TOEFL or ""NA"" if they did not"
Q50,We would welcome the opportunity to have a brief follow-up interview. Please let us know if you are willing to do so.,"1=""Yes""; 2=""No"""
